Trend across 126 log file(s):
state_id                                                     count     min_ms     avg_ms     max_ms  latest_ms
salt_monitor_service_daemon_reload                              76       0.00       1.47     110.98       0.00
mbsync_gmail_service                                             5       1.17       1.47       2.56       1.19
install_scdl                                                    77       1.35       1.46       2.09       1.42
install_rsmetrx                                                 77       1.32       1.46       2.51       1.40
aider_install                                                   77       1.35       1.46       1.92       1.41
floorp_ext_darkreader                                           77       1.37       1.46       1.85       1.43
floorp_ext_styl_us                                              77       1.37       1.46       1.87       1.40
floorp_ext_chrome_mask                                          77       1.34       1.46       2.25       1.42
floorp_ext_traduzir_paginas_web                                 77       1.35       1.46       2.11       1.43
floorp_ext_to_google_translate                                  77       1.35       1.46       1.97       1.46
kanata_service                                                  77       0.86       1.46      10.43       1.32
install_hyprevents                                              77       1.37       1.45       1.64       1.44
install_flight_gtk                                              77       1.34       1.45       1.70       1.39
floorp_ext_sponsorblock                                         77       1.36       1.45       1.83       1.39
floorp_ext_violentmonkey                                        77       1.34       1.45       1.84       1.42
floorp_ext_single_file                                          77       1.36       1.45       1.85       1.39
floorp_ext_steam_database                                       77       1.35       1.45       1.85       1.47
floorp_ext_besttimetracker                                      77       1.35       1.45       1.88       1.41
floorp_ext_stylebot_web                                         77       1.35       1.45       1.86       1.42
floorp_ext_augmented_steam                                      77       1.36       1.45       1.90       1.40
floorp_ext_tabliss                                              77       1.35       1.45       2.21       1.42
floorp_ext_ghostery                                             77       1.36       1.45       1.64       1.42
floorp_ext_fastforwardteam                                      77       1.35       1.44       1.83       1.40
floorp_ext_clearurls                                            77       1.36       1.44       1.63       1.39
salt_monitor_watchdog_timer_daemon_reload                       76       0.00       1.44     108.26       0.00
loki_user                                                       77       1.06       1.43       5.52       1.13
openclaw_service                                                81       0.94       1.41       2.28       1.34
grafana_loki_datasource                                         77       1.33       1.41       1.61       1.37
openclaw_sanitize_script                                        34       0.86       1.40       2.92       1.39
openclaw_health_service                                         18       0.96       1.37       1.56       1.36
mpdris2_user_service                                            82       0.97       1.35       3.87       1.21
salt_monitor_service                                            76       0.74       1.35       2.06       1.38
superdirt_boot_noop                                             77       0.87       1.33       1.73       1.30
